# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
label,run,elapsed_us,map_width,map_height,working_set_bytes,peak_working_set_bytes,private_bytes
pipe_cpp,3,2,32,32,720474112,1380020224,2405482496
pipe_cpp,4,2,32,32,720478208,1380020224,2405486592
pipe_cpp,8,3,32,32,720478208,1380020224,2405486592
pipe_cpp,0,2,64,64,720474112,1380020224,2405482496
pipe_cpp,2,3,64,64,720478208,1380020224,2405486592
pipe_cpp,3,2,64,64,720474112,1380020224,2405482496
pipe_cpp,4,3,64,64,720478208,1380020224,2405486592
pipe_cpp,5,2,64,64,720474112,1380020224,2405482496
pipe_cpp,6,2,64,64,720478208,1380020224,2405486592
pipe_cpp,7,2,64,64,720478208,1380020224,2405486592
pipe_cpp,8,2,64,64,720478208,1380020224,2405486592
pipe_cpp,9,2,64,64,720498688,1380020224,2405486592
pipe_cpp,0,2,128,128,720773120,1380020224,2405556224
pipe_cpp,0,2772,128,128,720822272,1380020224,2405556224
pipe_cpp,0,5763,128,128,720822272,1380020224,2405556224
pipe_cpp,0,8752,128,128,720822272,1380020224,2405556224
pipe_cpp,0,11747,128,128,720822272,1380020224,2405556224
pipe_cpp,0,14738,128,128,720822272,1380020224,2405556224
pipe_cpp,0,17729,128,128,720822272,1380020224,2405556224
pipe_cpp,1,2,128,128,720822272,1380020224,2405556224
pipe_cpp,1,2015,128,128,720822272,1380020224,2405556224
pipe_cpp,1,5040,128,128,720822272,1380020224,2405556224
pipe_cpp,1,8005,128,128,720822272,1380020224,2405556224
pipe_cpp,1,13445,128,128,720822272,1380020224,2405556224
pipe_cpp,1,15980,128,128,720822272,1380020224,2405556224
pipe_cpp,1,18968,128,128,720822272,1380020224,2405556224
pipe_cpp,2,2,128,128,720822272,1380020224,2405556224
pipe_cpp,2,2151,128,128,720822272,1380020224,2405556224
pipe_cpp,2,5237,128,128,720822272,1380020224,2405556224
pipe_cpp,2,8279,128,128,720822272,1380020224,2405556224
pipe_cpp,2,11134,128,128,720822272,1380020224,2405556224
pipe_cpp,2,14156,128,128,720822272,1380020224,2405556224
pipe_cpp,2,17114,128,128,720822272,1380020224,2405556224
pipe_cpp,3,2,128,128,720818176,1380020224,2405552128
pipe_cpp,3,2144,128,128,720818176,1380020224,2405552128
pipe_cpp,3,5139,128,128,720818176,1380020224,2405552128
