# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
label,run,elapsed_us,map_width,map_height,working_set_bytes,peak_working_set_bytes,private_bytes
pipe_optimized,3,1,256,256,720105472,1380020224,2405425152
pipe_optimized,3,2936,256,256,722763776,1380020224,2407559168
pipe_optimized,3,5930,256,256,722763776,1380020224,2407559168
pipe_optimized,3,8919,256,256,722763776,1380020224,2407559168
pipe_optimized,3,11913,256,256,722763776,1380020224,2407559168
pipe_optimized,3,14904,256,256,722763776,1380020224,2407559168
pipe_optimized,3,17896,256,256,722763776,1380020224,2407559168
pipe_optimized,3,20887,256,256,722763776,1380020224,2407559168
pipe_optimized,3,23879,256,256,722763776,1380020224,2407559168
pipe_optimized,3,26873,256,256,722763776,1380020224,2407559168
pipe_optimized,3,29864,256,256,722763776,1380020224,2407559168
pipe_optimized,3,32855,256,256,722763776,1380020224,2407559168
pipe_optimized,3,35848,256,256,722763776,1380020224,2407559168
pipe_optimized,3,38839,256,256,722763776,1380020224,2407559168
pipe_optimized,3,41833,256,256,722763776,1380020224,2407559168
pipe_optimized,4,1,256,256,720113664,1380020224,2405429248
pipe_optimized,4,2028,256,256,722767872,1380020224,2407563264
pipe_optimized,4,5016,256,256,722767872,1380020224,2407563264
pipe_optimized,4,8007,256,256,722767872,1380020224,2407563264
pipe_optimized,4,11001,256,256,722767872,1380020224,2407563264
pipe_optimized,4,13992,256,256,722767872,1380020224,2407563264
pipe_optimized,4,16983,256,256,722767872,1380020224,2407563264
pipe_optimized,4,19978,256,256,722767872,1380020224,2407563264
pipe_optimized,4,22968,256,256,722767872,1380020224,2407563264
pipe_optimized,4,25959,256,256,722767872,1380020224,2407563264
pipe_optimized,4,28953,256,256,722767872,1380020224,2407563264
pipe_optimized,4,31948,256,256,722767872,1380020224,2407563264
pipe_optimized,4,34937,256,256,722767872,1380020224,2407563264
pipe_optimized,4,37927,256,256,722767872,1380020224,2407563264
pipe_optimized,4,40920,256,256,722767872,1380020224,2407563264
pipe_optimized,5,2,256,256,720089088,1380020224,2405429248
pipe_optimized,5,2970,256,256,722767872,1380020224,2407563264
pipe_optimized,5,5963,256,256,722767872,1380020224,2407563264
pipe_optimized,5,8957,256,256,722767872,1380020224,2407563264
