# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
caller,thread_id,function,duration_us,threads_used,map_width,map_height
pipe_optimized,3566507971064169796,erode,6095,6,128,128
pipe_optimized,3566507971064169796,erode,5641,6,128,128
pipe_optimized,3566507971064169796,erode,9092,6,128,128
pipe_optimized,3566507971064169796,erode,5837,6,128,128
pipe_optimized,3566507971064169796,erode,8965,6,128,128
pipe_optimized,3566507971064169796,erode,5947,6,128,128
pipe_optimized,3566507971064169796,erode,7131,6,128,128
pipe_optimized,3566507971064169796,erode,5471,6,128,128
pipe_optimized,3566507971064169796,erode,243387,1,256,256
pipe_optimized,3566507971064169796,erode,235289,1,256,256
pipe_optimized,3566507971064169796,erode,224299,1,256,256
pipe_optimized,3566507971064169796,erode,229781,1,256,256
pipe_optimized,3566507971064169796,erode,229766,1,256,256
pipe_optimized,3566507971064169796,erode,249469,1,256,256
pipe_optimized,3566507971064169796,erode,266937,1,256,256
pipe_optimized,3566507971064169796,erode,267895,1,256,256
pipe_optimized,3566507971064169796,erode,226081,1,256,256
pipe_optimized,3566507971064169796,erode,223228,1,256,256
pipe_optimized,3566507971064169796,erode,116193,2,256,256
pipe_optimized,3566507971064169796,erode,122249,2,256,256
pipe_optimized,3566507971064169796,erode,136491,2,256,256
pipe_optimized,3566507971064169796,erode,127035,2,256,256
pipe_optimized,3566507971064169796,erode,124405,2,256,256
pipe_optimized,3566507971064169796,erode,120938,2,256,256
pipe_optimized,3566507971064169796,erode,117869,2,256,256
pipe_optimized,3566507971064169796,erode,118761,2,256,256
pipe_optimized,3566507971064169796,erode,119101,2,256,256
pipe_optimized,3566507971064169796,erode,118790,2,256,256
pipe_optimized,3566507971064169796,erode,66693,4,256,256
pipe_optimized,3566507971064169796,erode,63130,4,256,256
pipe_optimized,3566507971064169796,erode,62040,4,256,256
pipe_optimized,3566507971064169796,erode,61170,4,256,256
pipe_optimized,3566507971064169796,erode,61761,4,256,256
pipe_optimized,3566507971064169796,erode,62353,4,256,256
pipe_optimized,3566507971064169796,erode,61244,4,256,256
pipe_optimized,3566507971064169796,erode,61303,4,256,256
pipe_optimized,3566507971064169796,erode,60998,4,256,256
pipe_optimized,3566507971064169796,erode,65559,4,256,256
pipe_optimized,3566507971064169796,erode,68924,6,256,256
pipe_optimized,3566507971064169796,erode,101512,6,256,256
pipe_optimized,3566507971064169796,erode,99294,6,256,256
pipe_optimized,3566507971064169796,erode,100001,6,256,256
pipe_optimized,3566507971064169796,erode,107666,6,256,256
pipe_optimized,3566507971064169796,erode,65123,6,256,256
pipe_optimized,3566507971064169796,erode,132144,6,256,256
pipe_optimized,3566507971064169796,erode,93529,6,256,256
pipe_optimized,3566507971064169796,erode,70915,6,256,256
pipe_optimized,3566507971064169796,erode,83974,6,256,256
pipe_optimized,3566507971064169796,erode,3884271,1,512,512
pipe_optimized,3566507971064169796,erode,3732702,1,512,512
pipe_optimized,3566507971064169796,erode,3802054,1,512,512
pipe_optimized,3566507971064169796,erode,3750778,1,512,512
pipe_optimized,3566507971064169796,erode,3762856,1,512,512
pipe_optimized,3566507971064169796,erode,3771868,1,512,512
pipe_optimized,3566507971064169796,erode,3747867,1,512,512
pipe_optimized,3566507971064169796,erode,3753686,1,512,512
pipe_optimized,3566507971064169796,erode,3737709,1,512,512
pipe_optimized,3566507971064169796,erode,3743540,1,512,512
pipe_optimized,3566507971064169796,erode,1968774,2,512,512
pipe_optimized,3566507971064169796,erode,2044044,2,512,512
pipe_optimized,3566507971064169796,erode,1965099,2,512,512
pipe_optimized,3566507971064169796,erode,1981323,2,512,512
pipe_optimized,3566507971064169796,erode,1995663,2,512,512
pipe_optimized,3566507971064169796,erode,1984982,2,512,512
pipe_optimized,3566507971064169796,erode,1950116,2,512,512
pipe_optimized,3566507971064169796,erode,1936473,2,512,512
pipe_optimized,3566507971064169796,erode,1948549,2,512,512
pipe_optimized,3566507971064169796,erode,2002696,2,512,512
pipe_optimized,3566507971064169796,erode,1147623,4,512,512
pipe_optimized,3566507971064169796,erode,1149759,4,512,512
pipe_optimized,3566507971064169796,erode,1227809,4,512,512
pipe_optimized,3566507971064169796,erode,1095092,4,512,512
pipe_optimized,3566507971064169796,erode,1037709,4,512,512
pipe_optimized,3566507971064169796,erode,1035809,4,512,512
pipe_optimized,3566507971064169796,erode,1051844,4,512,512
pipe_optimized,3566507971064169796,erode,1053426,4,512,512
pipe_optimized,3566507971064169796,erode,1045713,4,512,512
pipe_optimized,3566507971064169796,erode,1044440,4,512,512
pipe_optimized,3566507971064169796,erode,804527,6,512,512
pipe_optimized,3566507971064169796,erode,1025027,6,512,512
pipe_optimized,3566507971064169796,erode,790669,6,512,512
pipe_optimized,3566507971064169796,erode,786620,6,512,512
pipe_optimized,3566507971064169796,erode,777483,6,512,512
pipe_optimized,3566507971064169796,erode,806128,6,512,512
pipe_optimized,3566507971064169796,erode,839849,6,512,512
pipe_optimized,3566507971064169796,erode,797268,6,512,512
pipe_optimized,3566507971064169796,erode,891827,6,512,512
pipe_optimized,3566507971064169796,erode,788959,6,512,512
